# Phonetic series according to 上古音系 (Old Chinese Phonology), by 鄭張尚芳 (Shangfang Zhengzhang), 2003.
夾,(*kreːb),瘞瘱脥浹挾夾郟筴裌鵊狹峽硤陜陿翜梜頰莢鋏蛺唊悏匧愜篋俠綊
奄,(*qromʔ),庵鵪菴馣晻唵黤埯淹閹崦醃掩奄罨裺俺腌殗餣
奇,(*kral),奇畸剞羇掎攲躸踦寄徛欹崎觭碕綺婍騎琦鵸錡輢齮犄猗椅旖陭檹漪倚
奈,(*naːls),奈柰渿捺
奏,(*ʔsoːs),奏凑腠輳楱湊
奐,(*qʰʷaːns),渙瘓喚煥奐寏換
奔,(*pɯːn),賁蟦膹橨奔錛噴濆歕獖餴饙僨墳燌豶羵蕡鐼馩轒鼖憤鱝
奚,(*ɡeː),謑膎鞵榽鷄雞谿嵠溪磎螇鸂奚豯徯蹊騱傒鼷蒵貕慀
奠,(*diːŋs),奠鄭擲躑
奧,(*quːɡs),襖懊燠奧墺隩澳噢薁䉛
奭,(*hjaɡ),奭襫
女,(*naʔ),拿拏詉蒘笯挐絮呶怓帑奴砮駑孥努弩怒袽帤女籹恕如茹洳鴽蕠汝肗
好,(*qʰuːʔ),薅好
妃,(*pʰɯːls),圮妃
妟,,堰躽宴蝘偃郾鶠褗匽鼴鰋揠
妥,(*n̥ʰoːlʔ),妥鵎挼骽脮餒浽娞鮾綏荽鋖桵
妻,(*sʰiːl),妻萋淒凄悽鶈郪緀霋棲
妾,(*sʰeb),霎翣帹接椄菨鯜妾淁踥
委,(*qrol),矮躷捼倭涹踒餧諉痿萎逶覣蜲委緌
姥,(*ruːʔ),姥峔
姦,(*kraːn),姦葌
威,(*qul),崴威葳隇蝛鰄楲
婁,(*ɡ·roː),樓摟耬僂婁螻髏蔞鞻艛膢廔嘍瞜簍慺鷜褸遱謱嶁甊塿漊鏤瘻擻藪籔氀縷屢數屨窶貗
子,(*ʔslɯʔ),孜仔孖子虸耔秄杍籽字茡芓牸李
孑,(*ked),孑𨥂
孔,(*kʰloːŋʔ),吼孔
存,(*zluːn),荐洊臶栫袸存拵
孚,(*pʰuw),殍脬捊莩哹浮蜉桴罦琈粰烰艀俘孚孵稃郛筟
孛,(*bɯːds),誖悖孛哱馞勃餑郣浡桲挬脖鵓渤綍
孝,(*qʰruːs),酵窙哮庨涍孝
季,(*kʷids),季悸痵
孨,(*nɯb),孨孱
孫,(*suːn),孫猻蓀搎遜愻
孰,(*djɯwɢ),熟孰塾
孱,(*sɡreːn),孱潺僝轏樼
孴,(*ŋɯʔ),孨孴
學,(*ɡruːɡ),攪覺澩斆鱟嶨礐觷學鷽
宁,(*da),貯詝柠宁佇竚苧紵羜眝
它,(*l̥ʰaːl),佗拕它蛇袉鴕駝紽鮀陀沱跎詑酡迱舵柁鉈
守,(*qʰljuʔ),守狩
安,(*qaːn),安鞍鞌侒按案洝荌晏鴳騴鷃頞胺咹
宋,(*sluːŋs),浨俕宋
宕,(*daːŋs),宕菪
宗,(*ʔsuːŋ),淙鬃漴粽宗倧綜錝賨琮悰孮誴崇崈踪
官,(*koːn),官棺倌悹涫管琯痯輨錧館婠悺逭菅綰捾
宰,(*ʔsɯːʔ),宰縡梓滓
害,(*ɡaːds),轄害犗幰攇憲瀗割磍瞎鎋鶷縖豁
家,(*kraː),家傢幏稼嫁
宷,(*hljɯmʔ),宷審瀋嬸
宿,(*suɡs),宿蓿縮樎蹜摍
寅,(*lil),寅蔩鏔演縯戭夤螾濥瞚
寇,(*kʰoːs),滱寇簆蔻
寉,(*ɡluːwɢ),鶴髉篧榷搉傕確寉蒮
寒,(*ɡaːn),寒蹇謇搴藆騫褰攐鑳寋鶱
寧,(*neːŋ),濘獰檸儜薴鬡鑏嬣寍寗甯寧鸋嚀聹
寸,(*sʰuːns),村忖刌寸
寺,(*ljɯs),等待寺持峙痔跱歭洔畤秲庤時鰣塒蒔榯恃侍詩邿特
寽,(*rud),酹脟捋蛶埒鋝浖哷寽
封,(*poŋ),幫鞤封葑犎崶湗
射,(*ɢljaːɡs),謝榭射麝
專,(*tjon),竱團摶篿慱剸鄟漙鷒轉傳囀縳專磚甎塼嫥膞鱄蓴
尉,(*quds),尉熨慰罻犚蔚螱褽鳚
尊,(*ʔsuːn),尊樽罇嶟繜撙噂譐僔蹲鱒鐏遵鷷墫竴
尋,(*ljum),襑憳蕁撏燖尋潯樳鄩
對,(*tuːbs),對轛薱濧懟
小,(*smewʔ),觘抄鈔訬炒吵耖仯眇渺杪秒篎妙玅釥小少麨尠
尔,(*njelʔ),妳弥尒尔迩你苶
尗,(*hljɯwɢ),椒茮踧蔋惄戚慼鏚慽磩寂嘁墄摵督錖裻傶蹙槭縬顣敊琡俶埱淑婌尗叔掓菽鮛
尚,(*djaŋ),當襠鐺簹璫檔儅蟷擋黨讜欓譡闣瓽鏜闛鼞曭儻戃矘爣攩淌倘躺趟堂坣棠糛螳隚橖掌廠敞僘氅常嘗裳徜尚甞鋿嫦償賞瞠撐樘橕牚埫
尞,,簝潦獠轑橑燎繚璙憭爒僚嫽療膫鷯遼撩嘹寮飉竂鐐蟟瞭嶚镽
尤,(*ɢʷɯ),尤疣肬沋訧忧蚘
尨,(*mroːŋ),厖駹狵尨浝哤牻娏蛖𥆙痝𪁪
就,(*zuɡs),僦就鷲殧噈蹴
尸,(*hli),杘尸鳲屍屎
尹,(*ɢʷlinʔ),芛伊咿蛜笋尹
尺,(*tʰjaɡ),尺蚇
尼,(*nil),泥屔苨坭迡埿旎狔抳尼呢怩柅蚭跜秜痆昵
尾,(*mɯlʔ),娓尾浘
局,(*ɡoɡ),鋦挶梮局跼侷
屋,(*qoːɡ),握幄偓渥齷楃喔腛媉屋剭
展,(*tenʔ),碾輾展搌
屖,(*sliːl),厗屖遟謘稺
屚,(*roːs),漏瘺屚
屯,(*duːn),躉窀沌盹頓扽黗吨屯飩豘軘坉邨忳芚庉囤迍杶瑃椿偆肫訰純春蠢踳惷蒓賰鬊
屰,(*ŋraɡ),斥訴泝愬遡塑溯遻柝鶚諤齶鍔遌崿偔堮湂鱷噩咢鑩鄂鰐萼愕顎朔槊蒴坼拆逆屰縌蝷
山,(*sreːn),山疝邖汕訕仙秈苮屾
岡,(*klaːŋ),岡崗剛掆鋼綱犅堈
岳,(*ŋroːɡ),岳捳
崔,(*zluːl),嗺催璀皠漼鏙摧崔慛槯繀膗
巂,,孈纗攜蠵鑴驨酅雟讗觽儶觿欈瓗携
川,(*kʰjon),川釧巛巡馴紃甽順訓
州,(*tju),洲州喌酬詶
巠,(*keːŋ),葝頸勁鑋輕涇經鵛巠剄烴徑逕桱蛵陘鋞脛踁
巢,(*zraːw),璅繅薻罺摷勦巢轈樔鄛剿漅
巤,(*rab),鑞蠟邋臘臈擸擖獵躐鬣儠犣鱲巤獦
工,(*koːŋ),缸篢贑涳江肛扛杠豇茳釭矼玒虹腔崆羫控椌悾跫啌谾舡缻項屸功工疘魟攻愩碽貢羾空箜硿埪鵼倥鞚叿嗊訌紅仜葒渱鴻汞澒鞏巩銎恐蛩筇桏邛
左,(*ʔsaːlʔ),左佐袏蹉瑳搓磋溠傞醝瘥鹺嵯嵳蒫艖齹縒褨嗟差鎈槎髊
巨,(*ɡaʔ),柜渠磲蕖蟝璖巨距拒苣炬詎鉅秬粔駏歫矩榘
巫,(*ma),巫誣莁鵐
己,(*kɯʔ),改跽己紀妀記杞屺芑邔玘忌鵋誋梞
巳,(*ljɯʔ),巳祀汜戺起熙媐圯异巸
巴,(*praː),巴芭笆豝鈀吧蚆疤把爸弝靶葩舥妑帊琶爬杷跁耙
巵,(*tje),巵梔
巽,(*sqʰuːns),撰饌譔鐉選繏潠蟤僎襈巽簨
巾,(*krɯn),巾帘
巿,(*pub),沛芾伂霈旆肺杮巿
帀,(*ʔsuːb),帀沞魳迊匝咂韴砸
希,(*hlɯl),桸郗絺脪瓻希晞莃鵗稀睎豨悕俙欷浠唏
帚,(*pjuʔ),婦帚箒鯞
帝,(*teːɡs),膪揥腣諦偙渧帝楴啼蹄締崹鶙禘啻嫡摘謫讁擿蹢適啇滴鏑甋樀敵
師,(*sri),篩師鰤蒒獅螄
帶,(*taːds),帶蹛艜慸滯懘蔕螮摕僀殢遰墆嵽蒂
干,(*kaːn),訐肝竿干奸玕汗迀忓鳱邗秆矸仠皯衦簳擀旰盰幹杆骭桿趕稈刊靬衎犴豻頇岸鼾罕焊蔊虷旱皔釬扞閈馯捍悍銲垾駻睅娨飦赶軒蓒酐澣
平,(*ben),平怦砰抨閛伻評坪苹枰泙蚲胓匉萍
幵,(*kŋeːn),笄枅蚈羿栞雃詽揅幵鳽豣麉趼汧岍研妍訮鈃
并,(*peŋ),鵧駢胼骿軿賆跰恲鮩絣拼迸姘皏併并栟屏箳餅鉼摒庰偋艵頩竮瓶缾蛢荓郱洴蓱
幸,(*ɡreːŋʔ),幸倖婞涬緈悻睪
幺,(*qiːw),幺吆
幼,(*qrɯws),黝坳軪眑拗鴢靿狕袎怮窈苭泑呦蚴幼
幾,(*kɯl),機譏嘰磯鞿饑禨幾鐖僟璣蟣穖畿
庚,(*kraːŋ),唐煻糖搪蓎瑭餹篖螗塘鶶赯磄溏傏鎕榶嵣庚賡鹒康穅糠槺漮躿慷
庶,(*hljaɡs),褯遮蔗鷓樜蟅嗻鍍度渡庶剫踱喥謶席蓆墌摭蹠
廄,(*kɯws),廄匓
廛,(*dan),纏緾躔瀍鄽廛
延,(*lan),唌誕蜑蛋硟涎脠梴鋋埏挻鯅延筵蜒狿郔綖莚
廷,(*l'eːŋ),蜓涏綎珽脡侹頲廷庭鼮莛筳霆娗挺艇鋌梃誔
建,(*kans),犍騝鍵揵鞬腱湕建旔楗健
弁,(*brons),鴘弁拚閞昪匥笲軬畚
弄,(*roːŋs),筭弄梇哢硦
弇,(*kɯːm),弇媕黭揜渰鞥
弋,(*lɯɡ),戴襶貸代袋岱黛玳帒甙酨試弒忒貣鴏栻侙恜式軾拭鉽烒弋芅黓隿杙釴
弓,(*kʷɯŋ),弓穹焪芎
弔,(*tiːwɢ),盄弔伄
引,(*linʔ),紖矧訠弞引蚓鈏靷
弗,(*pɯd),鄪費砩沸疿茀髴昲靅狒怫胇艴弗紼柫笰拂刜彿佛坲咈炥
弘,(*ɡʷɯːŋ),弘鞃苰泓宖紭
弟,(*diːlʔ),梯睇涕挮鬀剃綈蕛稊苐鵜銻鮷罤弟娣悌第
弢,(*tʰaːw),弢詜
弱,(*njewɢ),嫋弱溺蒻搦愵
強,(*ɡaŋ),繈襁膙鏹勥強
彔,(*b·roːɡ),剝龣祿淥睩琭箓碌盝娽彔趢簶綠逯錄醁騄菉籙
彖,(*l̥ʰjelʔ),蠡盠彖墬喙餯剶猭鶨椽篆瑑堟蝝緣櫞掾褖湪
彗,(*sɢʷeds),櫘彗篲鏏槥轊熭嘒暳嚖慧蔧雪
彡,(*sroːm),杉彡衫髟釤䑣彤浵肜
彦,(*ŋrans),喭鏟産簅摌嵼滻顏楌偐齴遃嵃彦諺
彪,(*prɯw),彪淲滮
彬,(*prɯn),虨彬霦
彭,(*braːŋ),澎彭膨蟚蟛憉
役,(*ɢʷeɡ),椺役疫垼炈鈠豛坄
往,(*ɢʷaŋ),暀誑枉往
得,(*tɯːɡ),得淂棏
徙,(*selʔ),簁徙褷屣縰蓰
微,(*mɯl),矀覹黴薇媺微溦癓徽幑
徵,(*tɯʔ),徵癥澂懲
徹,(*tʰed),徹撤澈轍
心,(*slɯm),沁吣心杺伈
必,(*pliɡ),泌秘毖閟柲鉍邲覕咇苾馝飶鴓鮅必珌佖駜怭妼宓樒密蔤滵蜜謐榓淧瑟璱飋虙
念,(*nɯːms),淰唸埝趝諗稔棯腍捻錜敜惗菍
息,(*slɯɡ),息熄媳鄎瘜蒠
悉,(*sid),僁悉蟋窸
患,(*ɡroːns),漶贃患槵
惠,(*ɢʷiːds),韢繐憓潓惠蟪蕙橞譓鏸穗
惢,(*sqʰloːlʔ),惢蕊蘂繠
意,(*qɯɡs),噫譩醷意鷾憶億臆繶澺薏檍癔
愛,(*qɯːds),愛曖僾靉薆璦瞹
慶,(*kʰraŋ),慶羻
憂,(*qu),憂優瀀櫌鄾嚘耰獶纋懮
戈,(*koːl),戕戈划
戉,(*ɢʷad),泧眓越狘戉鉞樾怴
戊,(*mus),茂戊
戌,(*smid),滅搣烕戌珬銊
戎,(*njuŋ),娀戎茙駥狨絨
成,(*djeŋ),成城誠宬郕筬盛珹晟墭
我,(*ŋaːlʔ),莪哦娥峨峩鵝俄蛾睋涐誐硪我騀餓義儀轙檥蟻艤礒羛議犧曦羲
戒,(*krɯːɡs),祴駴戒誡悈械裓
戔,(*zlaːn),殘戔帴虥盞醆琖剗棧輚嶘錢俴籛淺濺踐諓餞賤綫箋牋
或,(*ɡʷɯːɡ),幗慖簂蔮國或惑蜮閾緎淢域罭棫琙魊馘聝膕摑漍嘓蟈掝彧稶
戛,(*kriːɡ),戛嘎
戟,(*kraɡ),戟撠
戠,(*tjɯɡ),識幟織熾樴職軄戠膱蟙
截,(*zeːd),巀截蠽
戸,,妒雇顧戽戶扈帍昈滬簄齭所
戹,(*qreːɡ),呃阸厄蚅扼軛戹豟呝軶
戾,(*rɯːds),錑戻戾綟唳蜧捩悷淚
扁,(*pʰen),斒鯿編揙褊篇偏翩媥扁萹騗騙諞楄蝙甂猵牑蹁匾碥惼糄徧遍頨艑
扇,(*hljen),扇煽傓
手,(*hnjɯwʔ),杽手
才,(*zlɯː),茬材才財鼒在豺
折,(*l'eːl),晢狾誓逝銴折娎哳踅哲蜇悊嚞喆硩浙晣焎
拜,(*proːds),拜湃
掃,(*suːʔ),掃埽
支,(*kje),支枝肢汥衼馶鳷忮伎豉翅翄妓庋跂蚑吱岐歧鬾技芰攱庪頍屐
攸,(*lɯw),絛窱蓧條鋚鞗樤鰷莜翛筱篠修脩樇滫悠攸浟蓨滌儵倐倏虪
敕,(*tʰɯɡ),敕勅鷘慗遫
敖,(*ŋaːw),熬敖嗷螯聱驁鰲遨獒滶蔜鷔鼇謷嶅嗸摮嫯鏊傲磝
敝,(*beds),蔽鄨鷩彆潎斃敝幣弊鱉虌憋瞥鐅嫳撇撆暼蹩襒
敢,(*klaːmʔ),撖澉噉敢橄瞰闞憨譀巖礹豃讝玁嚴儼曮釅
散,(*saːnʔ),散糤繖饊鏾潸霰撒
敦,(*tuːl),弴敦錞憝憞譈鐓鷻鶉惇墩驐燉焞啍暾噋諄埻稕醇淳犉
敫,(*kleːwɢs),礉邀憿徼儌璬皦繳敫譥激噭獥鸄墽竅覈燩檄薂
敬,(*kreŋs),蟼憼驚警儆璥檠敬擎曔
文,(*mɯn),旻旼汶忞盿枚玫玟文紋蚊雯彣馼鳼鼤抆紊
斌,(*prɯn),斌贇
斗,(*toːʔ),斗抖蚪枓阧斢鈄
料,(*reːw),料炓
斤,(*kɯn),蘄祈頎旂圻蚚岓玂沂掀釿齗听垽斤菦靳劤勁赾芹近斦欣忻昕訢炘邤庍焮
斬,(*ʔsreːmʔ),慚慙鏨槧暫蹔斬獑嶃覱摲漸塹壍嬱螹蔪
斯,(*se),嘶撕斯廝蟴燍鐁凘澌
方,(*paŋ),縍榜蒡牓螃搒舫謗雱磅霶滂鎊髈彷趽房篣騯傍膀旁徬閍祊嗙方汸坊邡枋鈁蚄肪鴋牥昉瓬放倣芳淓妨紡仿髣鶭訪防魴
於,(*qaː),閼菸於淤箊唹扵瘀棜
斿,(*lu),游遊蝣斿
旅,(*ɡ·raʔ),玈旅膂祣
旉,,敷璷
旋,(*sɢʷan),旋漩璇琁蜁嫙鏇縼
族,(*zoːɡ),蔟嗾鷟鏃瘯簇族
旡,(*kɯds),溉槩概摡慨嘅穊暨鱀塈既旡蔇炁櫭曁
日,(*njiɡ),涅捏篞衵日馹
旦,(*taːns),皽担胆疸觛亶嬗笪狚旦鴠譠坦但檀壇儃驙袒襢繵膻澶邅鱣饘旜氈鸇顫蟺擅羶呾怛妲靼炟
旨,(*kjiʔ),稽詣栺榰脂鴲指旨恉嗜蓍鰭耆鮨鬐
早,(*ʔsuːʔ),早草愺騲皁皂
昆,(*kuːn),昆琨鯤菎崐蜫惃錕猑騉緄輥棍餛混焜倱掍箟
昊,(*ɡuːʔ),昊顥灝
昌,(*tʰjaŋ),昌倡猖菖閶鯧裮琩唱
明,(*mraŋ),莔明盟萌奣
昏,(*hmɯːn),鍲抿緡捪湣昏婚閽惛棔殙
易,(*leːɡs),賜儩舓易敡鬄睗晹痬蜴埸逷剔踢惕錫裼緆
昔,(*sjaːɡ),借唶藉躤蜡齰醋錯措厝逪剒鵲碏踖趞皵舄斮簎諎矠庴籍耤猎昔惜腊焟棤
昚,(*ɡins),昚傄
昜,(*laŋ),湯踼蝪薚簜盪偒蕩燙啺碭婸愓璗崵逿暢畼腸場傷殤觴慯禓塲陽楊揚瘍煬鍚暘颺昜輰敭鰑諹瑒鸉餳
是,(*djeʔ),鞮隄堤鍉蝭醍緹提瑅題媞褆禔騠趧鯷踶徥匙是諟翨睼寔湜遈
昱,(*luɡ),煜翊翌昱喅
晉,(*ʔsins),鄑戩榗晉縉搢瑨
普,(*pʰaːʔ),譜普
暴,(*boːwɢs),暴曝瀑虣爆襮嚗謈犦懪
暵,(*hnaːnʔ),儺臡嘆灘擹攤癱歎難暵熯漢戁
曄,(*ɢʷab),曄爗燁曅皣瞱
曇,(*duːm),曇壜
曰,(*ɢʷad),曰汩
曳,(*leds),洩曳拽
曷,(*ɡaːd),愒馤靄餲喝揭偈猲葛輵獦渴嵑暍曷褐鶡毼蝎鞨遏齃堨擖楬朅藒竭碣羯鍻歇蠍謁
曹,(*zluː),遭糟醩傮槽曹螬漕嘈艚褿蓸慒
曼,(*moːn),獌鬘謾慢嫚縵曼饅蔓鰻墁鏝槾漫幔蟃
曾,(*ʔsɯːŋ),潧繒增憎磳曾矰罾熷竲橧譄蹭層贈僧鬙甑鄫驓嶒噌鏳
替,(*tʰiːds),替暜僣
會,(*koːbs),譮會儈膾鱠襘禬檜旝澮鄶廥鬠劊獪繪懀薈嬒瞺噲璯
月,(*ŋod),刖枂月跀抈鈅玥蚏
朋,(*bɯːŋ),崩堋漰倗朋鵬棚鬅掤淜輣繃弸
服,(*bɯɡ),菔服鵩箙棴
朏,(*pʰlɯːlʔ),朏昢
朕,(*l'ɯmʔ),黱朕鰧螣栚眹騰滕縢儯幐藤謄膡籐勝蕂榺塍媵賸
朝,(*ʔr'ew),嘲廟朝潮
木,(*moːɡ),木沐朷蚞霂
未,(*mɯds),寐魅鬽昧妹眛沬未味鮇菋
末,(*maːd),眛沬佅韎帓粖末昩秣靺眜抹妺怽沫袜
本,(*pɯːnʔ),本笨苯翉体鉢缽
朮,(*l'ud),訹怵朮炢術述秫沭蒁
朱,(*tjo),咮株誅邾鼄跦袾鴸蛛殊趎珠朱侏絑祩鮢硃姝銖茱洙陎
朵,(*toːlʔ),桗挆朵朶躲剁垛
朿,(*sʰeɡs),債積刺莿刾朿漬耫嘖梀捒幘簀嫧謮責皟憡策筴拺賾鰿擌蹟襀磧洓績勣樍
杀,,閷鎩殺蔱摋煞榝刹
杏,(*ɡraːŋʔ),杏莕
束,(*hljoɡ),涑鏉摗駷嗽瘶欶漱捒悚竦娕梀速餗殐遬蔌樕藗誎束
東,(*toːŋ),東菄鶇倲涷蝀凍鯟崠埬棟
杲,(*kaːwʔ),杲菒
析,(*seːɡ),菥蜤析皙蜥淅惁晰
林,(*ɡ·rɯm),婪惏啉漤醂林琳淋痳箖霖菻罧棽綝郴禁襟僸澿噤凚齽
果,(*kloːlʔ),裸躶果菓猓輠裹蜾惈粿窠稞課髁棵顆堁敤夥婐踝祼
枴,(*kʷroːlʔ),箉拐枴
某,(*mɯʔ),某謀媒煤腜禖
柬,(*kreːnʔ),蘭攔欄瀾讕闌韊幱籣躝爛爤鑭糷斕揀柬暕諫練鍊煉楝萰堜湅
栗,(*riɡ),栗溧慄鷅凓篥麜瑮塛搮
桀,(*ɡrad),桀傑榤嵥滐搩謋
桑,(*sŋaːŋ),桒桑磉顙嗓搡
桰,,咶話刮鴰趏舌姡頢括活适栝佸髺聒銛葀懖筈萿蛞闊秳
桼,(*sʰiɡ),漆桼膝厀
梟,(*keːw),梟蟂鄡
棘,(*krɯɡ),棘襋蕀
棥,(*ban),攀襻棥礬樊蠜
業,(*ŋab),礏業鄴驜嶪鸈澲
樂,(*ŋraːwɢs),樂轢濼躒擽爍鑠藥櫟纅礫瓅皪觻嚛
欠,(*kʰoms),坎扻砍芡欠杴鍁
次,(*sn̥ʰis),咨資姿粢諮恣澬趑蠀次佽絘薋瓷茨餈垐楶
欮,(*kod),鱖蹶厥欮蕨劂瘚蟨蟩橜撅闕橛鷢蹷憠
款,(*kʰloːnʔ),款欵歀窾
止,(*kjɯʔ),祉址止趾芷沚阯齒紕
正,(*tjeŋ),綻淀靛症竀征怔正鉦鴊眐佂整政証定顁錠掟
此,(*sʰeʔ),些跐柴祡茈眦砦寨啙泚玼皉鮆眥貲髭頾訾鴜鈭姕觜紫訿呰嘴雌此佌庛疵骴胔飺齜
步,(*baːs),荹步踄
武,(*maʔ),賦陚武鵡珷碔娬
歰,(*srɯb),澀歰澁
歲,(*sqʰʷads),噦翽鐬濊歲劌顪穢薉獩饖奯
殳,(*djo),吺祋投骰酘坄殳杸
段,(*doːns),鍛腶碫瑖緞段椴毈
殷,(*qrɯːn),殷慇溵磤
殸,(*kʰreːŋ),殸聲謦磬罄馨
殻,,彀鷇瞉豰瑴愨殼觳嗀穀糓轂榖瀔縠
殿,(*tɯːns),殿澱壂臀
毀,(*hmralʔ),毀燬檓毇譭
毄,,繫檕轚蘻罊蟿礊擊墼
毌,(*koːn),毌貫樌鏆遦慣摜瑻謴
母,(*mɯʔ),脢挴海毐呣拇母胟姆畮踇苺莓敏鰵慜毋梅酶鋂每毎痗晦誨悔霉
毒,(*l'uːɡ),瑇纛碡毒蝳
比,(*piʔ),梐狴悂螕鎞蓖篦批砒鈚磇媲笓膍陛仳吡紕比妣秕沘枇粊庇屁琵毗貔豼蚍芘肶魮阰坒玭
毚,(*zrɯːm),纔讒饞毚欃攙儳酁瀺嚵巉劖艬鑱
毛,(*maːw),毛髦旄芼氂枆酕牦耄覒眊耗秏毣
毳,(*skʰods),膬毳竁橇
氏,(*skeŋ),氏衹紙帋扺坁汦忯眂舐芪祇疧軝蚔
氐,(*tiːl),低氐袛羝眡岻奃趆柢邸底詆坻抵牴觝弤軧骶砥胝疷秪泜蚳彽阺貾祗厎茋鴟汦
民,(*min),眠民泯怋岷珉罠笢鈱抿刡敃愍暋蟁
气,(*kʰɯds),愾忾刏汽氣气忥餼鎎熂霼犔
水,(*qʰʷljilʔ),沝水
永,(*ɢʷraŋʔ),永栐泳詠咏
氾,(*pʰoms),氾犯範范笵
求,(*ɡu),救求球逑賕蛷莍殏梂俅脙絿銶毬捄觩
沒,(*mɯːd),沒歿莈
沓,(*duːb),踏濌錔鞜沓涾誻
沙,(*sraːl),硰娑挱挲桫渻沙紗砂鯊裟桬髿魦莎莏
沿,(*lon),船舩沿鉛鈆
泉,(*sɡʷen),線泉葲灥
法,(*pqab),法灋
津,(*ʔslin),葏津
派,(*m̥ʰreːɡs),庍派脈脉衇眽覛霢
流,(*ru),流硫琉旒瑬裗
淫,(*lɯm),淫霪婬
淵,(*qʷiːn),婣鼘囦淵裫奫
濕,(*ŋ̊ʰl'ɯːb),儑濕漯礘隰溼
火,(*qʰʷaːlʔ),火邩伙
灰,(*hmɯː),脄盔詼恢灰
災,(*ʔslɯː),灾災
炎,(*ɦlam),倓緂毯菼裧賧睒舕談郯惔錟淡痰餤啖腅剡覢掞炎琰棪扊
炭,(*tŋ̊ʰaːns),炭湠
烏,(*qaː),烏嗚鰞歍鎢瑦鄔螐隖塢溩
焉,(*qran),嘕嫣焉鄢蔫漹傿
無,(*ma),墲橅膴幠鄦撫無瞴蕪璑鷡譕憮舞廡嫵甒潕儛
焦,(*ʔsew),癄焦蕉鷦僬噍膲鐎蟭燋醮潐趭樵譙憔劁顦嶕撨穛
煩,(*ban),煩薠
熏,(*qʰun),櫄薰曛勲熏燻獯纁醺臐爋
熒,(*ɡʷeːŋ),鶯罃嫈褮覮謍䁝嶸嵤榮瑩蠑禜醟檾煢焭縈營鎣塋濴熒螢滎濙瀅
燕,(*qeːn),燕驠嬿鷰醼讌嚥酀
燮,(*seːb),燮躞
爪,(*ʔsruːʔ),抓爪笊找
爭,(*ʔsreːŋ),琤崢鬇爭箏猙埩諍凈錚棦竫睜淨
爯,(*tʰjɯŋ),稱爯偁
爰,(*ɢʷan),暖煖喛緩鰀嵈鍰湲媛瑗援褑諼愋楥爰鶢蝯猨
爲,(*ɢʷal),譌嬀潙蟡僞噅撝爲鄬蔿儰寪蘤
爵,(*ʔsewɢ),釂皭爝爵嚼穱灂
父,(*paʔ),抪布佈怖斧父蚥滏釜
爻,(*ɢraːw),崤郩敎較肴淆倄爻餚殽笅駁
爽,(*sraŋʔ),摤磢漺傸鷞騻爽塽樉
爾,(*njelʔ),嬭禰镾薾檷鑈瀰獼瓕彌鸍擟濔壐璽爾邇獮籋
爿,(*braːn),臧牂戕贓藏奘臟將漿鱂蔣螿槳獎醬鏘蹡嶈斨爿牆妝莊裝壯疒床牀狀
牆,(*zaŋ),薔廧蘠嬙檣
片,(*pʰeːns),爿片沜
牙,(*ŋraː),邪衺牙芽齖呀枒雅厊庌訝迓砑犽疨岈谺颬鴉釾
牟,(*mu),牟眸侔蛑麰劺恈鴾
牢,(*ruː),牢窂哰
牽,(*kʰiːn),牽縴
犀,(*sliːl),摨犀遲墀
犬,(*kʰʷeːnʔ),猚畎汱甽犬
犮,(*boːd),軷韍祓蛂拔菝袚茇盋帗跋魃䣮馛炦颰妭犮胈鈸苃坺髮冹瞂紱黻翇
狄,(*deːɡ),逖悐狄荻梑
狊,(*kʷeːɡ),瞁湨郹狊鶪鼳犑闃
猋,(*pew),飆猋贆
猒,(*qem),猒懕饜嬮厭黶檿魘厴擪壓靨
獄,(*ŋoɡ),嶽鸑哭獄
玄,(*ɡʷeːn),弦絃舷痃胘蚿伭婱玄眩玹玆詃泫鉉炫袨衒惤
